task,model,fold,best_val_acc,epochs,lr,head_batch,seed,frozen_backbone
human_or_worm,ph,0,0.774800,30,0.001,512,2222,True
human_or_worm,ph,1,0.779850,30,0.001,512,2222,True
human_or_worm,ph,2,0.778250,30,0.001,512,2222,True
human_or_worm,ph,3,0.771050,30,0.001,512,2222,True
human_or_worm,ph,4,0.779950,30,0.001,512,2222,True
human_or_worm,ps,0,0.771950,30,0.001,512,2222,True
human_or_worm,ps,1,0.769150,30,0.001,512,2222,True
human_or_worm,ps,2,0.768200,30,0.001,512,2222,True
human_or_worm,ps,3,0.772700,30,0.001,512,2222,True
human_or_worm,ps,4,0.771350,30,0.001,512,2222,True
human_enhancers_cohn,ph,0,0.681418,30,0.001,512,2222,True
human_enhancers_cohn,ph,1,0.682620,30,0.001,512,2222,True
human_enhancers_cohn,ph,2,0.687478,30,0.001,512,2222,True
human_enhancers_cohn,ph,3,0.688557,30,0.001,512,2222,True
human_enhancers_cohn,ph,4,0.683699,30,0.001,512,2222,True
human_enhancers_cohn,ps,0,0.670444,30,0.001,512,2222,True
human_enhancers_cohn,ps,1,0.659050,30,0.001,512,2222,True
human_enhancers_cohn,ps,2,0.675063,30,0.001,512,2222,True
human_enhancers_cohn,ps,3,0.676322,30,0.001,512,2222,True
human_enhancers_cohn,ps,4,0.668946,30,0.001,512,2222,True
